id,brand,model,product_line,created time,updated time
1,BenQ,HT2050A,1,2020/8/3 13:41,2020/8/3 13:41
2,Epson,HC2150,1,2020/8/3 13:41,2020/8/3 13:41
3,Optoma,HD27,1,2020/8/3 13:41,2020/8/3 13:41
4,Optoma,HD27HDR,1,2020/8/3 13:41,2020/8/3 13:41
5,Optoma,HD27e,1,2020/8/3 13:41,2020/8/3 13:41
6,BenQ,MH535FHD,1,2020/8/3 13:41,2020/8/3 13:41
7,BenQ,MH530FHD,1,2020/8/3 13:41,2020/8/3 13:41
8,BenQ,TH585,1,2020/8/3 13:41,2020/8/3 13:41
9,Epson,HC1060,1,2020/8/3 13:41,2020/8/3 13:41
10,Viewsonic,PX700HD,1,2020/8/3 13:41,2020/8/3 13:41
11,Optoma,HD143X,1,2020/8/3 13:41,2020/8/3 13:41
12,Optoma,HD243X,1,2020/8/3 13:41,2020/8/3 13:41
13,BenQ,HT2150ST,1,2020/8/3 13:41,2020/8/3 13:41
14,BenQ,TH671ST,1,2020/8/3 13:41,2020/8/3 13:41
15,BenQ,MW632ST,1,2020/8/3 13:41,2020/8/3 13:41
16,Optoma,GT1080Darbee,1,2020/8/3 13:41,2020/8/3 13:41
17,Optoma,GT1080HDR,1,2020/8/3 13:41,2020/8/3 13:41
18,Viewsonic,PX706HD,1,2020/8/3 13:41,2020/8/3 13:41
19,Viewsonic,PS501X,1,2020/8/3 13:41,2020/8/3 13:41
20,Viewsonic,PS501W,1,2020/8/3 13:41,2020/8/3 13:41
21,BenQ,TK800M,1,2020/8/3 13:41,2020/8/3 13:41
22,BenQ,TK850,1,2020/8/3 13:41,2020/8/3 13:41
23,BenQ,HT3550,1,2020/8/3 13:41,2020/8/3 13:41
24,Epson,HC3200,1,2020/8/3 13:41,2020/8/3 13:41
25,Epson,HC3800,1,2020/8/3 13:41,2020/8/3 13:41
26,Epson,5050UBe,1,2020/8/3 13:41,2020/8/3 13:41
27,Epson,5050UB,1,2020/8/3 13:41,2020/8/3 13:41
28,Epson,5040UB,1,2020/8/3 13:41,2020/8/3 13:41
29,Epson,HC4000,1,2020/8/3 13:41,2020/8/3 13:41
30,Epson,HC4010,1,2020/8/3 13:41,2020/8/3 13:41
31,Epson,HC4040,1,2020/8/3 13:41,2020/8/3 13:41
32,Epson,HC4050,1,2020/8/3 13:41,2020/8/3 13:41
33,Optoma,P1,1,2020/8/3 13:41,2020/8/3 13:41
34,Optoma,UHD30,1,2020/8/3 13:41,2020/8/3 13:41
35,Optoma,UHD50x,1,2020/8/3 13:41,2020/8/3 13:41
36,Optoma,UHD50,1,2020/8/3 13:41,2020/8/3 13:41
37,Optoma,UHD60,1,2020/8/3 13:41,2020/8/3 13:41
38,Optoma,UHD65,1,2020/8/3 13:41,2020/8/3 13:41
39,Optoma,UHD51A,1,2020/8/3 13:41,2020/8/3 13:41
40,Optoma,UHL55,1,2020/8/3 13:41,2020/8/3 13:41
41,Optoma,UHZ65,1,2020/8/3 13:41,2020/8/3 13:41
42,Optoma,UHD51ALV,1,2020/8/3 13:41,2020/8/3 13:41
43,Viewsonic,PX727-4K,1,2020/8/3 13:41,2020/8/3 13:41
44,Viewsonic,PX747-4K,1,2020/8/3 13:41,2020/8/3 13:41
45,Viewsonic,LS700-4K,1,2020/8/3 13:41,2020/8/3 13:41
46,Viewsonic,X10-4K,1,2020/8/3 13:41,2020/8/3 13:41
47,LG,HU80KA,1,2020/8/3 13:41,2020/8/3 13:41
48,VAVA,LT002,1,2020/8/3 13:41,2020/8/3 13:41
49,Anker,Mars II Pro,1,2020/8/3 13:41,2020/8/3 13:41
50,Anker,Capsule II,1,2020/8/3 13:41,2020/8/3 13:41
51,Anker,Mars II,1,2020/8/3 13:41,2020/8/3 13:41
52,Viewsonic,M1+,1,2020/8/3 13:41,2020/8/3 13:41
53,Viewsonic,M1,1,2020/8/3 13:41,2020/8/3 13:41
54,Viewsonic,M1 Mini,1,2020/8/3 13:41,2020/8/3 13:41
55,BenQ,GV1,1,2020/8/3 13:41,2020/8/3 13:41
56,BenQ,GS2,1,2020/8/3 13:41,2020/8/3 13:41
57,BenQ,TH685,1,2020/9/9 15:05,2020/9/9 15:05
58,Optoma,HZ29HDR,1,2020/9/9 15:05,2020/9/9 15:05
59,Optoma,HD39HDR,1,2020/9/9 15:05,2020/9/9 15:05
60,Optoma,HD28HDR,1,2020/9/9 15:05,2020/9/9 15:05
61,Optoma,HD146X,1,2020/9/9 15:05,2020/9/9 15:05
62,Optoma,P2,1,2020/9/9 15:05,2020/9/9 15:05
63,VAVA,VA-LT002,1,2020/9/9 15:05,2020/9/9 15:05
64,VAVA,VAVA 4K,1,2020/9/9 15:05,2020/9/9 15:05
65,BenQ,TK800,1,2020/10/6 11:11,2020/10/6 11:11
66,BenQ,TK810,1,2020/10/6 11:11,2020/10/6 11:11
67,BenQ,TK850i,1,2020/10/6 11:11,2020/10/6 11:11
68,BenQ,HT2550,1,2020/10/6 11:11,2020/10/6 11:11
69,BenQ,HT3550i,1,2020/10/6 11:11,2020/10/6 11:11
70,Epson,HC2200,1,2021/1/29 09:01,2021/1/29 09:01
71,Epson,HC2250,1,2021/1/29 09:01,2021/1/29 09:01
72,BenQ,TH685i,1,2021/1/29 09:01,2021/1/29 09:01
73,Epson,HC1080,1,2021/1/29 09:01,2021/1/29 09:01
74,Epson,HC880,1,2021/1/29 09:01,2021/1/29 09:01
75,Optoma,HZ39HDR,1,2021/1/29 09:01,2021/1/29 09:01
76,Optoma,GT1090HDR,1,2021/1/29 09:01,2021/1/29 09:01
77,BenQ,W4000i,1,2021/3/12 16:54,2021/3/12 16:54
78,Optoma,UHD35,1,2021/3/12 16:54,2021/3/12 16:54
79,Optoma,UHD38,1,2021/3/12 16:54,2021/3/12 16:54
80,ViewSonic,PX701-4K,1,2021/3/12 16:54,2021/3/12 16:54
81,BenQ,V7050i,1,2021/3/12 16:54,2021/3/12 16:54
82,BenQ,GV10,1,2021/3/12 16:54,2021/3/12 16:54
83,BenQ,GP500,1,2021/3/12 16:54,2021/3/12 16:54
84,BenQ,GV30,1,2021/3/12 16:54,2021/3/12 16:54
85,BenQ,GS50,1,2021/3/12 16:54,2021/3/12 16:54
87,BenQ,TK700STi,1,2021/3/12 16:54,2021/3/12 16:54
88,BenQ,X1300i,1,2021/3/12 16:54,2021/3/12 16:54
89,BenQ,X3000i,1,2021/3/12 16:54,2021/3/12 16:54
90,BenQ,X3100Sti,1,2021/3/12 16:54,2021/3/12 16:54
91,ViewSonic,PX728-4K,1,2021/3/15 09:47,2021/3/15 09:47
92,ViewSonic,PX748-4K,1,2021/3/15 09:47,2021/3/15 09:47
